iter	Passed	Remaining
0	134	134087
1	134	67323
2	135	45052
3	136	33920
4	136	27233
5	137	22776
6	138	19607
7	138	17217
8	139	15357
9	140	13868
10	140	12652
11	141	11637
12	141	10777
13	142	10040
14	143	9401
15	143	8846
16	144	8352
17	145	7914
18	145	7520
19	146	7165
20	146	6841
21	147	6550
22	147	6283
23	148	6035
24	149	5829
25	149	5619
26	150	5424
27	151	5243
28	151	5074
29	152	4919
30	152	4774
31	153	4638
32	153	4511
33	154	4391
34	155	4276
35	155	4170
36	156	4069
37	156	3973
38	157	3882
39	158	3794
40	158	3711
41	159	3632
42	159	3560
43	160	3487
44	161	3419
45	161	3355
46	162	3294
47	163	3235
48	163	3180
49	164	3123
50	165	3071
51	165	3021
52	166	2971
53	166	2925
54	167	2879
55	168	2836
56	168	2793
57	169	2752
58	170	2712
59	170	2673
60	171	2635
61	171	2599
62	172	2564
63	172	2529
64	173	2495
65	174	2465
66	174	2435
67	175	2402
68	175	2373
69	176	2344
70	177	2317
71	177	2292
72	178	2266
73	179	2241
74	179	2217
75	180	2192
76	180	2169
77	181	2146
78	182	2122
79	182	2100
80	183	2079
81	183	2057
82	184	2036
83	184	2017
84	185	1995
85	185	1976
86	186	1955
87	186	1937
88	187	1918
89	188	1901
90	188	1885
91	189	1868
92	189	1852
93	190	1836
94	191	1820
95	191	1804
96	192	1791
97	193	1783
98	194	1770
99	195	1756
100	195	1743
101	196	1726
102	196	1713
103	197	1700
104	198	1688
105	198	1675
106	199	1663
107	199	1650
108	200	1638
109	201	1626
110	201	1615
111	202	1604
112	202	1592
113	203	1582
114	204	1571
115	204	1560
116	205	1550
117	206	1539
118	206	1528
119	207	1518
120	207	1509
121	208	1501
122	209	1491
123	209	1483
124	210	1474
125	211	1466
126	212	1458
127	212	1448
128	213	1439
129	213	1430
130	214	1422
131	215	1414
132	215	1407
133	216	1398
134	217	1390
135	217	1382
136	218	1374
137	218	1366
138	219	1358
139	219	1350
140	220	1343
141	221	1335
142	221	1327
143	222	1321
144	222	1314
145	223	1308
146	224	1302
147	225	1296
148	225	1289
149	226	1282
150	226	1276
151	227	1269
152	228	1262
153	228	1256
154	229	1249
155	229	1243
156	230	1237
157	230	1230
158	231	1224
159	232	1218
160	232	1212
161	233	1207
162	233	1201
163	234	1195
164	235	1189
165	235	1183
166	236	1178
167	236	1172
168	237	1167
169	238	1163
170	239	1158
171	239	1154
172	240	1149
173	241	1144
174	241	1138
175	242	1134
176	242	1128
177	243	1124
178	244	1119
179	244	1114
180	245	1108
181	245	1103
182	246	1098
183	246	1094
184	247	1089
185	247	1085
186	248	1080
187	249	1075
188	249	1071
189	250	1066
190	250	1062
191	251	1057
192	252	1054
193	252	1050
194	253	1047
195	254	1043
196	255	1039
197	255	1035
198	256	1031
199	257	1029
200	257	1025
201	258	1021
202	259	1017
203	259	1014
204	260	1010
205	261	1006
206	261	1002
207	262	998
208	262	994
209	263	990
210	263	986
211	264	982
212	265	979
213	265	975
214	266	971
215	266	968
216	267	965
217	268	961
218	268	958
219	269	955
220	270	951
221	270	948
222	271	945
223	271	942
224	272	938
225	273	935
226	273	932
227	274	928
228	274	925
229	275	922
230	276	919
231	276	916
232	277	912
233	277	909
234	278	906
235	279	903
236	279	900
237	280	896
238	280	894
239	281	891
240	282	888
241	282	885
242	283	882
243	284	880
244	284	877
245	285	874
246	285	871
247	286	868
248	287	865
249	287	862
250	288	860
251	288	857
252	289	854
253	289	851
254	290	849
255	291	846
256	292	844
257	292	841
258	293	839
259	293	836
260	294	833
261	295	831
262	295	828
263	296	826
264	296	823
265	297	820
266	298	818
267	299	816
268	299	814
269	300	812
270	301	809
271	301	807
272	302	805
273	302	802
274	303	800
275	304	797
276	304	795
277	305	792
278	305	790
279	306	788
280	307	785
281	307	783
282	308	781
283	308	778
284	309	776
285	310	774
286	310	771
287	311	769
288	311	767
289	312	765
290	313	763
291	314	761
292	314	759
293	315	757
294	316	755
295	316	753
296	317	751
297	318	749
298	318	746
299	319	744
300	319	742
301	320	740
302	320	738
303	321	735
304	322	733
305	322	731
306	323	729
307	323	727
308	324	725
309	324	723
310	325	721
311	326	719
312	326	716
313	327	714
314	328	713
315	328	711
316	329	710
317	330	708
318	331	706
319	331	704
320	332	704
321	333	702
322	334	700
323	334	698
324	335	696
325	335	694
326	336	692
327	337	690
328	337	688
329	338	686
330	338	684
331	339	682
332	339	680
333	340	678
334	341	677
335	341	675
336	342	674
337	343	672
338	344	671
339	344	669
340	345	667
341	345	665
342	346	664
343	347	662
344	348	660
345	348	659
346	349	657
347	350	655
348	350	654
349	351	652
350	352	651
351	353	649
352	353	648
353	354	647
354	355	645
355	356	644
356	356	642
357	357	641
358	358	640
359	359	639
360	360	638
361	361	637
362	362	636
363	363	634
364	364	633
365	365	632
366	365	631
367	366	629
368	367	628
369	368	627
370	369	625
371	369	624
372	370	622
373	371	621
374	372	620
375	372	618
376	373	617
377	374	616
378	375	615
379	376	613
380	376	612
381	377	611
382	378	609
383	379	609
384	380	607
385	381	606
386	382	605
387	382	603
388	383	602
389	384	600
390	384	599
391	385	597
392	385	596
393	386	594
394	387	593
395	388	591
396	388	590
397	389	589
398	390	587
399	391	586
400	391	585
401	392	583
402	393	582
403	393	581
404	394	579
405	395	578
406	396	577
407	396	575
408	397	574
409	398	573
410	398	571
411	399	570
412	400	568
413	400	567
414	401	566
415	402	564
416	402	563
417	403	562
418	404	561
419	405	559
420	405	558
421	406	557
422	407	556
423	408	554
424	409	553
425	409	552
426	410	550
427	411	549
428	411	548
429	412	546
430	413	545
431	413	543
432	414	542
433	415	541
434	415	540
435	416	539
436	417	537
437	418	536
438	419	535
439	419	534
440	420	533
441	421	531
442	421	530
443	422	529
444	423	527
445	423	526
446	424	525
447	425	524
448	426	522
449	426	521
450	427	520
451	428	519
452	428	517
453	429	516
454	430	515
455	430	513
456	431	512
457	431	511
458	432	509
459	433	508
460	434	507
461	434	506
462	435	505
463	436	503
464	436	502
465	437	501
466	438	500
467	439	499
468	439	498
469	440	496
470	441	496
471	442	495
472	443	493
473	443	492
474	444	491
475	445	490
476	445	488
477	446	487
478	447	486
479	448	485
480	448	484
481	449	483
482	450	482
483	451	481
484	452	480
485	453	479
486	453	478
487	454	476
488	455	475
489	455	474
490	456	473
491	457	472
492	458	471
493	458	469
494	459	468
495	460	467
496	460	466
497	461	465
498	461	463
499	462	462
500	463	461
501	464	460
502	464	459
503	465	458
504	466	456
505	467	455
506	467	454
507	468	453
508	469	452
509	469	451
510	470	450
511	471	448
512	471	447
513	472	446
514	473	445
515	474	444
516	474	443
517	475	442
518	476	441
519	477	440
520	477	439
521	478	438
522	479	437
523	480	436
524	480	435
525	481	433
526	482	432
527	482	431
528	483	430
529	483	429
530	484	428
531	485	426
532	486	425
533	486	424
534	487	423
535	488	422
536	488	421
537	489	420
538	490	419
539	490	418
540	491	416
541	492	415
542	492	414
543	493	413
544	494	412
545	495	411
546	495	410
547	496	409
548	497	408
549	498	407
550	498	406
551	499	405
552	500	404
553	500	403
554	501	402
555	502	401
556	503	400
557	503	399
558	504	398
559	505	397
560	505	395
561	506	394
562	507	393
563	508	392
564	508	391
565	509	390
566	510	389
567	511	388
568	511	387
569	512	386
570	512	385
571	513	384
572	514	383
573	515	382
574	515	381
575	516	380
576	517	379
577	517	378
578	518	377
579	519	375
580	519	374
581	520	373
582	521	372
583	522	371
584	522	370
585	523	369
586	524	368
587	525	367
588	525	366
589	526	365
590	526	364
591	527	363
592	528	362
593	528	361
594	529	360
595	530	359
596	530	358
597	531	357
598	532	356
599	532	355
600	533	354
601	534	353
602	534	352
603	535	351
604	536	350
605	536	348
606	537	348
607	538	347
608	539	346
609	539	345
610	540	344
611	541	343
612	542	342
613	543	341
614	543	340
615	544	339
616	545	338
617	546	337
618	547	336
619	547	335
620	548	334
621	549	333
622	549	332
623	550	331
624	550	330
625	551	329
626	552	328
627	553	327
628	553	326
629	554	325
630	555	324
631	556	323
632	556	322
633	557	321
634	558	321
635	559	320
636	559	319
637	560	318
638	561	317
639	562	316
640	563	315
641	563	314
642	564	313
643	565	312
644	566	311
645	567	310
646	567	309
647	568	308
648	569	307
649	569	306
650	570	305
651	571	304
652	572	304
653	572	303
654	573	302
655	574	301
656	574	300
657	575	299
658	576	298
659	576	297
660	577	296
661	578	295
662	578	294
663	579	293
664	580	292
665	580	291
666	581	290
667	582	289
668	582	288
669	583	287
670	584	286
671	584	285
672	585	284
673	586	283
674	587	282
675	588	281
676	589	281
677	589	280
678	590	279
679	591	278
680	591	277
681	592	276
682	593	275
683	594	274
684	594	273
685	595	272
686	596	271
687	597	270
688	597	269
689	598	268
690	599	267
691	600	267
692	600	266
693	601	265
694	602	264
695	602	263
696	603	262
697	604	261
698	605	260
699	606	259
700	606	258
701	607	257
702	608	256
703	608	256
704	609	255
705	610	254
706	610	253
707	611	252
708	612	251
709	613	250
710	613	249
711	614	248
712	615	247
713	616	246
714	617	245
715	617	245
716	618	244
717	619	243
718	619	242
719	620	241
720	621	240
721	621	239
722	622	238
723	623	237
724	623	236
725	624	235
726	625	234
727	625	233
728	626	232
729	627	231
730	628	231
731	629	230
732	630	229
733	631	228
734	631	227
735	632	226
736	632	225
737	633	224
738	634	223
739	634	222
740	635	221
741	635	221
742	636	220
743	636	219
744	637	218
745	638	217
746	638	216
747	639	215
748	639	214
749	640	213
750	640	212
751	641	211
752	642	210
753	642	209
754	643	208
755	643	207
756	644	206
757	645	206
758	646	205
759	646	204
760	647	203
761	648	202
762	648	201
763	649	200
764	650	199
765	651	198
766	651	197
767	652	197
768	652	196
769	653	195
770	654	194
771	654	193
772	655	192
773	655	191
774	656	190
775	656	189
776	657	188
777	658	187
778	658	186
779	659	186
780	660	185
781	661	184
782	661	183
783	662	182
784	663	181
785	663	180
786	664	179
787	665	178
788	665	178
789	666	177
790	666	176
791	667	175
792	667	174
793	668	173
794	668	172
795	669	171
796	670	170
797	670	169
798	671	168
799	671	167
800	672	167
801	672	166
802	673	165
803	674	164
804	674	163
805	675	162
806	676	161
807	676	160
808	677	159
809	678	159
810	678	158
811	679	157
812	680	156
813	680	155
814	681	154
815	682	153
816	682	152
817	683	151
818	683	151
819	684	150
820	684	149
821	685	148
822	685	147
823	686	146
824	687	145
825	687	144
826	688	143
827	688	143
828	689	142
829	690	141
830	691	140
831	692	139
832	692	138
833	693	138
834	694	137
835	694	136
836	695	135
837	696	134
838	696	133
839	697	132
840	698	131
841	698	131
842	699	130
843	699	129
844	700	128
845	700	127
846	701	126
847	702	125
848	702	124
849	703	124
850	703	123
851	704	122
852	705	121
853	706	120
854	706	119
855	707	118
856	707	118
857	708	117
858	709	116
859	709	115
860	710	114
861	710	113
862	711	112
863	711	112
864	712	111
865	713	110
866	713	109
867	714	108
868	714	107
869	715	106
870	716	106
871	717	105
872	717	104
873	718	103
874	719	102
875	720	101
876	720	101
877	721	100
878	722	99
879	723	98
880	724	97
881	724	96
882	725	96
883	725	95
884	726	94
885	727	93
886	727	92
887	728	91
888	728	90
889	729	90
890	729	89
891	730	88
892	731	87
893	731	86
894	732	85
895	732	85
896	733	84
897	734	83
898	734	82
899	735	81
900	736	80
901	737	80
902	737	79
903	738	78
904	739	77
905	739	76
906	740	75
907	740	75
908	741	74
909	742	73
910	742	72
911	743	71
912	743	70
913	744	70
914	744	69
915	745	68
916	746	67
917	746	66
918	747	65
919	747	65
920	748	64
921	748	63
922	749	62
923	750	61
924	751	60
925	751	60
926	752	59
927	752	58
928	753	57
929	754	56
930	754	55
931	755	55
932	755	54
933	756	53
934	756	52
935	757	51
936	758	50
937	758	50
938	759	49
939	759	48
940	760	47
941	760	46
942	761	46
943	762	45
944	762	44
945	763	43
946	763	42
947	764	41
948	765	41
949	765	40
950	766	39
951	767	38
952	767	37
953	768	37
954	769	36
955	769	35
956	770	34
957	770	33
958	771	32
959	772	32
960	772	31
961	773	30
962	774	29
963	774	28
964	775	28
965	775	27
966	776	26
967	776	25
968	777	24
969	778	24
970	778	23
971	779	22
972	779	21
973	780	20
974	781	20
975	782	19
976	782	18
977	783	17
978	784	16
979	784	16
980	785	15
981	785	14
982	786	13
983	787	12
984	787	11
985	788	11
986	788	10
987	789	9
988	790	8
989	790	7
990	791	7
991	791	6
992	792	5
993	792	4
994	793	3
995	794	3
996	794	2
997	795	1
998	796	0
999	796	0
